,checkin,PerNight,checkout,roomname,ratename,StayTotalwTaxes,currency,availability,cancelpolicy,paymentpolicy
0,"Sun, Apr 30",136.0,"Mon, May 1","Guest room, 1 King, Sofa bed",Member Rate Flexible,155.0,USD,NA,NA,NA
1,"Sun, Apr 30",139.0,"Mon, May 1","Guest room, 1 King, Sofa bed",Flexible Rate,159.0,USD,NA,NA,NA
2,"Sun, Apr 30",156.0,"Mon, May 1","Guest room, 1 King, Sofa bed",2K Everyday,178.0,USD,NA,NA,NA
3,"Sun, Apr 30",136.0,"Mon, May 1","Guest room, 2 Queen(s)",Member Rate Flexible,155.0,USD,NA,NA,NA
4,"Sun, Apr 30",139.0,"Mon, May 1","Guest room, 2 Queen(s)",Flexible Rate,159.0,USD,NA,NA,NA
5,"Sun, Apr 30",156.0,"Mon, May 1","Guest room, 2 Queen(s)",2K Everyday,178.0,USD,NA,NA,NA
6,"Sun, Apr 30",156.0,"Mon, May 1","Larger Guest room, 2 Queen(s)",Member Rate Flexible,178.0,USD,NA,NA,NA
7,"Sun, Apr 30",159.0,"Mon, May 1","Larger Guest room, 2 Queen(s)",Flexible Rate,182.0,USD,NA,NA,NA
8,"Sun, Apr 30",176.0,"Mon, May 1","Larger Guest room, 2 Queen(s)",2K Everyday,201.0,USD,NA,NA,NA
9,"Sun, Apr 30",234.0,"Mon, May 1","Guest room, 1 King, Whirlpool",Member Rate Flexible,268.0,USD,Almost Sold Out,NA,NA
10,"Sun, Apr 30",239.0,"Mon, May 1","Guest room, 1 King, Whirlpool",Flexible Rate,273.0,USD,Almost Sold Out,NA,NA
11,"Sun, Apr 30",254.0,"Mon, May 1","Guest room, 1 King, Whirlpool",2K Everyday,291.0,USD,Almost Sold Out,NA,NA
12,"Sun, Apr 30",254.0,"Mon, May 1","Suite, 1 King, Sofa bed",Member Rate Flexible,291.0,USD,Almost Sold Out,NA,NA
13,"Sun, Apr 30",259.0,"Mon, May 1","Suite, 1 King, Sofa bed",Flexible Rate,296.0,USD,Almost Sold Out,NA,NA
14,"Sun, Apr 30",274.0,"Mon, May 1","Suite, 1 King, Sofa bed",2K Everyday,314.0,USD,Almost Sold Out,NA,NA
