,checkin,PerNight,checkout,roomname,ratename,StayTotalwTaxes,currency,availability,cancelpolicy,paymentpolicy
0,"Sun, Apr 30",195.0,"Mon, May 1","Standard, Guest room, 1 King",Member Rate Flexible,223.0,USD,NA,NA,NA
1,"Sun, Apr 30",199.0,"Mon, May 1","Standard, Guest room, 1 King",Flexible Rate,228.0,USD,NA,NA,NA
2,"Sun, Apr 30",210.0,"Mon, May 1","Studio, 1 King, Sofa bed",Member Rate Flexible,240.0,USD,NA,NA,NA
3,"Sun, Apr 30",214.0,"Mon, May 1","Studio, 1 King, Sofa bed",Flexible Rate,245.0,USD,NA,NA,NA
4,"Sun, Apr 30",215.0,"Mon, May 1","Studio, 2 Queen(s), Sofa bed",Member Rate Flexible,246.0,USD,NA,NA,NA
5,"Sun, Apr 30",219.0,"Mon, May 1","Studio, 2 Queen(s), Sofa bed",Flexible Rate,251.0,USD,NA,NA,NA
6,"Sun, Apr 30",224.0,"Mon, May 1","1 Bedroom Suite, 1 King, Sofa bed",Member Rate Flexible,256.0,USD,Almost Sold Out,NA,NA
7,"Sun, Apr 30",229.0,"Mon, May 1","1 Bedroom Suite, 1 King, Sofa bed",Flexible Rate,262.0,USD,Almost Sold Out,NA,NA
8,"Sun, Apr 30",234.0,"Mon, May 1","Executive Suite, 1 King, Sofa bed",Member Rate Flexible,268.0,USD,Almost Sold Out,NA,NA
9,"Sun, Apr 30",239.0,"Mon, May 1","Executive Suite, 1 King, Sofa bed",Flexible Rate,273.0,USD,Almost Sold Out,NA,NA
10,"Sun, Apr 30",1470.0,"Mon, May 1","Studio Commons, 4 Bedroom Suite, 4 King",Member Rate Flexible,1684.0,USD,Almost Sold Out,NA,NA
11,"Sun, Apr 30",1500.0,"Mon, May 1","Studio Commons, 4 Bedroom Suite, 4 King",Flexible Rate,1719.0,USD,Almost Sold Out,NA,NA
